"name","price","url"
"Cabo Displayport M X HDMI M 1,8 Metros 4K MD9","R$ 27,90","https://www.portinfo.com.br/produto/cabo-displayport-m-x-hdmi-m-1-8-metros-4k-md9-11969"
"Cabo Displayport X VGA 15cm 4K MD9","R$ 25,50","https://www.portinfo.com.br/produto/cabo-displayport-x-vga-15cm-1-2-md9-11970"
"Cabo Dual Shock Branco Lightning USB 1,2 Metros CF6GEGHR5 GShield","R$ 100,90","https://www.portinfo.com.br/produto/cabo-dual-shock-branco-lightning-usb-12-metros-cf6geghr5-gshield-5682"
"Cabo Dual Shock Branco Tipo C USB 1,2 Metros 9JJ554TUW GShield","R$ 33,90","https://www.portinfo.com.br/produto/cabo-dual-shock-branco-tipo-c-usb-12-metros-9jj554tuw-gshield-5679"
"Cabo Dual Shock Preto Lightning Type C 1,2 Metros EWLX6UKWQ GShield","R$ 114,90","https://www.portinfo.com.br/produto/cabo-dual-shock-preto-lightning-type-c-12-metros-ewlx6ukwq-gshield-5684"
"Cabo Dual Shock Preto Tipo C Type C 1,2 Metros ZZN5X3ER9 GShield","R$ 44,90","https://www.portinfo.com.br/produto/cabo-dual-shock-preto-tipo-c-type-c-12-metros-zzn5x3er9-gshield-5681"
"Cabo Dual Tech PD 100W Tipo C / Tipo C Branco 1,8 Metros GS-6754 GShield","R$ 89,90","https://www.portinfo.com.br/produto/cabo-dual-tech-pd-100w-tipo-c-tipo-c-branco-18-metros-gs-6754-gshield-10650"
"Cabo DVI 24+1 Macho X Macho 2M Preto 5+","R$ 21,90","https://www.portinfo.com.br/produto/cabo-dvi-24-1-macho-x-macho-2m-preto-5-8108"
"Cabo Extensor Áudio P3 1,8 Metros Gold GV Brasil","R$ 10,90","https://www.portinfo.com.br/produto/cabo-extensor-audio-p3-18-metros-gold-gv-brasil-2983"
"Cabo Extensor Auxiliar P2 1,8 Metros WI362 Multilaser","R$ 19,90","https://www.portinfo.com.br/produto/cabo-extensor-auxiliar-p2-18-metros-wi362-multilaser-2116"
"Cabo Extensor Comtac USB 2.0 Am/Af 5 M. com Amplificador","R$ 71,90","https://www.portinfo.com.br/produto/cabo-extensor-comtac-usb-20-am-af-5-m-com-amplificador-8110"
"Cabo Extensor HDMI 2.0 2 Metros Preto MD9","R$ 31,90","https://www.portinfo.com.br/produto/cabo-extensor-hdmi-20-2-metros-preto-md9-9624"
"Cabo Extensor MD9 1,3 Metros P2 Fêmea Para P2 Macho","R$ 8,90","https://www.portinfo.com.br/produto/cabo-extensor-md9-13-metros-p2-femea-para-p2-macho-5349"
"Cabo Extensor MD9 1,5 Metros P2 Fêmea Para P2 Macho","R$ 9,90","https://www.portinfo.com.br/produto/cabo-extensor-md9-15-metros-p2-femea-para-p2-macho-5350"
"Cabo Extensor MD9 1,8 Metros P2 Fêmea Para P2 Macho","R$ 11,90","https://www.portinfo.com.br/produto/cabo-extensor-md9-18-metros-p2-femea-para-p2-macho-5351"
"Cabo Extensor MD9 2 Metros P2 Fêmea Para P2 Macho","R$ 12,90","https://www.portinfo.com.br/produto/cabo-extensor-md9-2-metros-p2-femea-para-p2-macho-5352"
"Cabo Extensor MD9 USB AM/AF 2.0 1,8 Metros Preto Niquelado","R$ 10,90","https://www.portinfo.com.br/produto/cabo-extensor-md9-usb-am-af-20-18-metros-preto-niquelado-9590"
"Cabo Fibra Óptica MD9 1.8 Metros 1.1 Toslink","R$ 25,90","https://www.portinfo.com.br/produto/cabo-fibra-optica-md9-18-metros-11-toslink-5353"
"Cabo Fibra Óptica MD9 3 Metros 1.1 Toslink","R$ 34,90","https://www.portinfo.com.br/produto/cabo-fibra-optica-md9-3-metros-11-toslink-5354"
"Cabo Flat Lightning Preto 1 Metro Trust","R$ 59,60","https://www.portinfo.com.br/produto/cabo-flat-lightning-preto-1-metro-trust-981"
"Cabo Geonav Lightning em Aço Cromado 1 Metro","R$ 81,90","https://www.portinfo.com.br/produto/cabo-geonav-lightning-em-aco-cromado-1-metro-8111"
"Cabo Geonav USB-A Para USB-C Silicone 1,5 Metros Branco","R$ 35,90","https://www.portinfo.com.br/produto/cabo-geonav-usb-a-para-usb-c-silicone-15-metros-branco-11294"
"Cabo Geonav USB-A Para USB-C Silicone 1,5 Metros Preto","R$ 35,90","https://www.portinfo.com.br/produto/cabo-geonav-usb-a-para-usb-c-silicone-15-metros-preto-11293"
"Cabo Geonav USB-A Para USB-C Silicone 1,5 Metros Rosa","R$ 35,90","https://www.portinfo.com.br/produto/cabo-geonav-usb-a-para-usb-c-silicone-15-metros-rosa-11295"
"Cabo Geonav USB-A Para USB-C Turbo 1,5 Metros Prata","R$ 39,90","https://www.portinfo.com.br/produto/cabo-geonav-usb-a-para-usb-c-turbo-15-metros-prata-11300"
"Cabo Geonav USB-C Para Lightning 1,2 Metros Branco 38W","R$ 28,90","https://www.portinfo.com.br/produto/cabo-geonav-usb-c-para-lightning-12-metros-branco-38w-11301"
"Cabo Geonav USB-C Para Lightning 1,2 Metros Preto 38W","R$ 28,90","https://www.portinfo.com.br/produto/cabo-geonav-usb-c-para-lightning-12-metros-preto-38w-11298"
"Cabo Geonav USB-C Para USB C 1,2 Metros Preto 100W","R$ 38,90","https://www.portinfo.com.br/produto/cabo-geonav-usb-c-para-usb-c-12-metros-preto-100w-11299"
"Cabo Geonav USB-C Para USB-C Nylon Trancado 1,2 Metros Branco","R$ 38,90","https://www.portinfo.com.br/produto/cabo-geonav-usb-c-para-usb-c-nylon-trancado-12-metros-branco-11292"
